,Entity,Code,Year,Male,Female,"Total population (Gapminder, HYDE & UN)",Continent
46119,South Africa,ZAF,1990,3.11201872555,4.68800184751,36800507.0,
46120,South Africa,ZAF,1991,3.11254593279,4.68527783143,37718952.0,
46121,South Africa,ZAF,1992,3.11415792251,4.68514803504,38672611.0,
46122,South Africa,ZAF,1993,3.11639151328,4.68695939778,39633754.0,
46123,South Africa,ZAF,1994,3.11888509815,4.69012854395,40564061.0,
46124,South Africa,ZAF,1995,3.12113788207,4.6940840332,41435761.0,
46125,South Africa,ZAF,1996,3.12637757512,4.71019820678,42241007.0,
46126,South Africa,ZAF,1997,3.13603294538,4.74315721895,42987456.0,
46127,South Africa,ZAF,1998,3.1473783804,4.78210432909,43682259.0,
46128,South Africa,ZAF,1999,3.15754166196,4.81628497521,44338551.0,
46129,South Africa,ZAF,2000,3.16386037578,4.8348079331300005,44967713.0,
46130,South Africa,ZAF,2001,3.16793049589,4.84226983778,45571272.0,
46131,South Africa,ZAF,2002,3.17273415084,4.84999809222,46150913.0,
46132,South Africa,ZAF,2003,3.17767187504,4.85706839693,46719203.0,
46133,South Africa,ZAF,2004,3.18208842351,4.86241051519,47291610.0,
46134,South Africa,ZAF,2005,3.1851822435200003,4.86514063941,47880595.0,
46135,South Africa,ZAF,2006,3.1838199953200004,4.85139046476,48489464.0,
46136,South Africa,ZAF,2007,3.17765578957,4.81710223814,49119766.0,
46137,South Africa,ZAF,2008,3.16979589704,4.775856313839999,49779472.0,
46138,South Africa,ZAF,2009,3.16321922197,4.74095842194,50477013.0,
46139,South Africa,ZAF,2010,3.16091465316,4.72593460484,51216967.0,
46140,South Africa,ZAF,2011,3.1616455321,4.72538159466,52003759.0,
46141,South Africa,ZAF,2012,3.16244031502,4.72506476244,52832659.0,
46142,South Africa,ZAF,2013,3.16345785946,4.72516980195,53687125.0,
46143,South Africa,ZAF,2014,3.1648249681000005,4.72574025727,54544184.0,
46144,South Africa,ZAF,2015,3.1666868216000004,4.72687006467,55386369.0,Africa
46145,South Africa,ZAF,2016,3.16909941558,4.72865931741,56207649.0,
46146,South Africa,ZAF,2017,3.17226445621,4.73126717798,57009751.0,
46147,South Africa,ZAF,-10000,,,90.0,
46148,South Africa,ZAF,-9000,,,180.0,
46149,South Africa,ZAF,-8000,,,361.0,
46150,South Africa,ZAF,-7000,,,723.0,
46151,South Africa,ZAF,-6000,,,1446.0,
46152,South Africa,ZAF,-5000,,,2892.0,
46153,South Africa,ZAF,-4000,,,5784.0,
46154,South Africa,ZAF,-3000,,,11568.0,
46155,South Africa,ZAF,-2000,,,23137.0,
46156,South Africa,ZAF,-1000,,,46275.0,
46157,South Africa,ZAF,0,,,92550.0,
46158,South Africa,ZAF,100,,,102834.0,
46159,South Africa,ZAF,200,,,114259.0,
46160,South Africa,ZAF,300,,,126955.0,
46161,South Africa,ZAF,400,,,141061.0,
46162,South Africa,ZAF,500,,,156735.0,
46163,South Africa,ZAF,600,,,174150.0,
46164,South Africa,ZAF,700,,,193499.0,
46165,South Africa,ZAF,800,,,214999.0,
46166,South Africa,ZAF,900,,,236499.0,
46167,South Africa,ZAF,1000,,,258000.0,
46168,South Africa,ZAF,1100,,,309600.0,
46169,South Africa,ZAF,1200,,,361200.0,
46170,South Africa,ZAF,1300,,,412799.0,
46171,South Africa,ZAF,1400,,,464400.0,
46172,South Africa,ZAF,1500,,,516001.0,
46173,South Africa,ZAF,1600,,,601999.0,
46174,South Africa,ZAF,1700,,,859997.0,
46175,South Africa,ZAF,1710,,,843749.0,
46176,South Africa,ZAF,1720,,,827510.0,
46177,South Africa,ZAF,1730,,,811259.0,
46178,South Africa,ZAF,1740,,,795010.0,
46179,South Africa,ZAF,1750,,,778761.0,
46180,South Africa,ZAF,1760,,,762517.0,
46181,South Africa,ZAF,1770,,,746270.0,
46182,South Africa,ZAF,1780,,,730022.0,
46183,South Africa,ZAF,1790,,,713777.0,
46184,South Africa,ZAF,1800,,,1447911.0,
46185,South Africa,ZAF,1801,,,1453209.0,
46186,South Africa,ZAF,1802,,,1458526.0,
46187,South Africa,ZAF,1803,,,1463862.0,
46188,South Africa,ZAF,1804,,,1469219.0,
46189,South Africa,ZAF,1805,,,1474594.0,
46190,South Africa,ZAF,1806,,,1479989.0,
46191,South Africa,ZAF,1807,,,1485404.0,
46192,South Africa,ZAF,1808,,,1490839.0,
46193,South Africa,ZAF,1809,,,1496293.0,
46194,South Africa,ZAF,1810,,,1502136.0,
46195,South Africa,ZAF,1811,,,1508101.0,
46196,South Africa,ZAF,1812,,,1514561.0,
46197,South Africa,ZAF,1813,,,1521524.0,
46198,South Africa,ZAF,1814,,,1528996.0,
46199,South Africa,ZAF,1815,,,1536982.0,
46200,South Africa,ZAF,1816,,,1545491.0,
46201,South Africa,ZAF,1817,,,1554530.0,
46202,South Africa,ZAF,1818,,,1564103.0,
46203,South Africa,ZAF,1819,,,1574220.0,
